5232:rRRRrr gggGgG bBBBBb
9928:RrrrRr ggGggg BBbbbB
6383:rRRrRR gGggGG BBBBbb
3722:rRrRrR ggGggG BBBbbb
5242:rRRRRr GGGgGg bBbbbB
9047:rrrrrR GgGggG BbbbbB
6975:rrrRRR gGGggG bbbBBB
4417:rRrRRR gGGGgG bbBBbB
9942:rrrrRr GGGggg BbBbBb
3241:rRRrRr gGgggG BbbbBB
6321:rRrRrR GGgGGg bbbBbb
8155:rRrrrr GggGgG bBbBBb
1110:rrrRRR ggGgGg bbbBBb
2170:rRrRrr gGggGg bBbBbb
9811:rrrrrr gGgggG bbBBbb
1391:RRrrrR gGGggg bBbbBB
1638:rrRRrr gGgGGG bbBbbb
8552:rRRRRR GGggGg bbbbBB
5404:RRRRRR GGGGGG BBBBBB
7688:rrrrrr gggggg bbbbbb
